SR_TYPE,YEAR_MONTH,COMMUNITY_AREA,RESPONSE_DAYS_MEDIAN
Abandoned Vehicle Complaint,2019-01,1,94.9
Abandoned Vehicle Complaint,2019-01,2,95.4
Abandoned Vehicle Complaint,2019-01,3,95.7
Abandoned Vehicle Complaint,2019-01,4,83.9
Abandoned Vehicle Complaint,2019-01,5,87.5
Abandoned Vehicle Complaint,2019-01,7,92.9
Abandoned Vehicle Complaint,2019-01,8,87.5
Abandoned Vehicle Complaint,2019-01,9,89.1
Abandoned Vehicle Complaint,2019-01,10,95.8
Abandoned Vehicle Complaint,2019-01,11,98.3
Abandoned Vehicle Complaint,2019-01,12,95.5
Abandoned Vehicle Complaint,2019-01,13,93.4
Abandoned Vehicle Complaint,2019-01,14,88.5
Abandoned Vehicle Complaint,2019-01,15,90.6
Abandoned Vehicle Complaint,2019-01,16,91.0
Abandoned Vehicle Complaint,2019-01,17,102.3
Abandoned Vehicle Complaint,2019-01,18,82.0
Abandoned Vehicle Complaint,2019-01,19,90.9
Abandoned Vehicle Complaint,2019-01,20,79.2
Abandoned Vehicle Complaint,2019-01,21,89.3
Abandoned Vehicle Complaint,2019-01,22,91.2
Abandoned Vehicle Complaint,2019-01,23,95.8
Abandoned Vehicle Complaint,2019-01,24,94.8
Abandoned Vehicle Complaint,2019-01,25,94.2
Abandoned Vehicle Complaint,2019-01,26,84.3
Abandoned Vehicle Complaint,2019-01,28,86.9
Abandoned Vehicle Complaint,2019-01,29,74.1
Abandoned Vehicle Complaint,2019-01,30,87.6
Abandoned Vehicle Complaint,2019-01,31,89.3
Abandoned Vehicle Complaint,2019-01,32,84.5
Abandoned Vehicle Complaint,2019-01,33,92.3
Abandoned Vehicle Complaint,2019-01,34,83.5
Abandoned Vehicle Complaint,2019-01,35,88.5
Abandoned Vehicle Complaint,2019-01,38,99.6
Abandoned Vehicle Complaint,2019-01,39,85.3
Abandoned Vehicle Complaint,2019-01,41,89.4
Abandoned Vehicle Complaint,2019-01,42,98.0
Abandoned Vehicle Complaint,2019-01,43,96.0
Abandoned Vehicle Complaint,2019-01,44,93.0
Abandoned Vehicle Complaint,2019-01,45,97.4
Abandoned Vehicle Complaint,2019-01,46,98.9
Abandoned Vehicle Complaint,2019-01,47,91.3
Abandoned Vehicle Complaint,2019-01,48,93.0
Abandoned Vehicle Complaint,2019-01,49,90.9
Abandoned Vehicle Complaint,2019-01,52,86.1
Abandoned Vehicle Complaint,2019-01,53,95.8
Abandoned Vehicle Complaint,2019-01,56,93.9
Abandoned Vehicle Complaint,2019-01,57,90.4
Abandoned Vehicle Complaint,2019-01,58,95.2
Abandoned Vehicle Complaint,2019-01,59,98.2
