Layer,Name,GEOID,INC_2020-2024,INC_2020-2024_moe
Community area,Rogers Park,1,64983.0,"$6,089"
Community area,Norwood Park,10,117197.0,"$11,320"
Community area,Jefferson Park,11,99974.0,"$12,832"
Community area,Forest Glen,12,143030.0,"$20,317"
Community area,North Park,13,70551.0,"$17,854"
Community area,Albany Park,14,89408.0,"$10,332"
Community area,Portage Park,15,94793.0,"$8,656"
Community area,Irving Park,16,95608.0,"$9,670"
Community area,Dunning,17,90516.0,"$9,377"
Community area,Montclare,18,75265.0,"$15,377"
Community area,Belmont Cragin,19,71804.0,"$7,389"
Community area,West Ridge,2,73239.0,"$7,264"
Community area,Hermosa,20,72341.0,"$8,339"
Community area,Avondale,21,94421.0,"$8,912"
Community area,Logan Square,22,114818.0,"$5,707"
Community area,Humboldt Park,23,59968.0,"$7,940"
Community area,West Town,24,144913.0,"$9,106"
Community area,Austin,25,53210.0,"$7,609"
Community area,West Garfield Park,26,44428.0,"$9,537"
Community area,East Garfield Park,27,40925.0,"$7,565"
Community area,Near West Side,28,120001.0,"$11,603"
Community area,North Lawndale,29,48940.0,"$7,652"
Community area,Uptown,3,75061.0,"$6,523"
Community area,South Lawndale,30,60232.0,"$7,752"
Community area,Lower West Side,31,79002.0,"$9,851"
Community area,Loop,32,122404.0,"$14,944"
Community area,Near South Side,33,125691.0,"$19,959"
Community area,Armour Square,34,46870.0,"$16,305"
Community area,Douglas,35,62015.0,"$11,227"
Community area,Oakland,36,33101.0,"$17,653"
Community area,Fuller Park,37,22612.0,"$5,902"
Community area,Grand Boulevard,38,60085.0,"$11,996"
Community area,Kenwood,39,75769.0,"$12,881"
Community area,Lincoln Square,4,93802.0,"$8,708"
Community area,Washington Park,40,38545.0,"$9,723"
Community area,Hyde Park,41,79064.0,"$15,454"
Community area,Woodlawn,42,43603.0,"$8,704"
Community area,South Shore,43,46804.0,"$6,799"
Community area,Chatham,44,49623.0,"$8,307"
Community area,Avalon Park,45,62164.0,"$28,457"
Community area,South Chicago,46,46329.0,"$8,968"
Community area,Burnside,47,48315.0,"$18,088"
Community area,Calumet Heights,48,67143.0,"$15,671"
Community area,Roseland,49,55813.0,"$7,136"
Community area,North Center,5,151644.0,"$14,611"
Community area,Pullman,50,64163.0,"$16,829"
Community area,South Deering,51,49243.0,"$11,529"
Community area,East Side,52,65078.0,"$9,962"
Community area,West Pullman,53,55745.0,"$10,065"
Community area,Riverdale,54,17399.0,"$8,071"
Community area,Hegewisch,55,63394.0,"$19,352"
Community area,Garfield Ridge,56,96027.0,"$14,039"
Community area,Archer Heights,57,68913.0,"$11,723"
Community area,Brighton Park,58,65766.0,"$8,742"
Community area,McKinley Park,59,87300.0,"$18,741"
Community area,Lake View,6,124617.0,"$6,312"
Community area,Bridgeport,60,79850.0,"$7,725"
Community area,New City,61,59345.0,"$9,837"
Community area,West Elsdon,62,79827.0,"$11,608"
Community area,Gage Park,63,63986.0,"$10,093"
Community area,Clearing,64,82854.0,"$13,655"
Community area,West Lawn,65,71436.0,"$11,083"
Community area,Chicago Lawn,66,55452.0,"$9,158"
Community area,West Englewood,67,43028.0,"$7,883"
Community area,Englewood,68,32941.0,"$6,139"
Community area,Greater Grand Crossing,69,43489.0,"$8,079"
Community area,Lincoln Park,7,161084.0,"$14,068"
Community area,Ashburn,70,86173.0,"$11,121"
Community area,Auburn Gresham,71,49586.0,"$6,490"
Community area,Beverly,72,134420.0,"$15,887"
Community area,Washington Heights,73,66484.0,"$10,386"
Community area,Mount Greenwood,74,115567.0,"$13,423"
Community area,Morgan Park,75,74888.0,"$13,264"
Community area,O'Hare,76,84182.0,"$14,695"
Community area,Edgewater,77,77797.0,"$5,097"
Community area,Near North Side,8,128441.0,"$9,823"
Community area,Edison Park,9,133601.0,"$23,676"
