YEAR_MONTH,COMMUNITY_AREA,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Blue Recycling Cart,Building Violation,Buildings - Plumbing Violation,Business Complaints,Check for Leak,Clean Vacant Lot Request,Consumer Fraud Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Inspect Public Way Request,Low Water Pressure Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Pet Wellness Check Request,Pothole in Street Complaint,Recycling Pick Up,Report an Injured Animal,Restaurant Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Stray Animal Complaint,Street Cleaning Request,Street Light Out Complaint,Street Light Pole Damage Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Emergency,Tree Planting Request,Tree Removal Inspection,Tree Trim Request (NO LONGER BEING ACCEPTED),Vacant/Abandoned Building Complaint,Vicious Animal Complaint,Water Lead Test Kit Request,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Yard Waste Pick-Up Request,total_volume_area_1,total_volume_area_2,total_volume_area_3,total_volume_area_4,total_volume_area_9,total_volume_area_10,total_volume_area_11,total_volume_area_12,total_volume_area_13,total_volume_area_14
2019-01,1,8,20,2,0,3,39,10,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,5,1,0,1,0,0,4,5,17,10,0,0,0,0,0,4,0,2,0,0,3,2,10,1,0,23,2,0,0,0,0,177.0,,,,,,,,,
2019-02,1,36,10,7,2,5,37,15,0,3,0,0,0,0,0,8,0,0,1,0,2,0,0,0,1,162,0,0,2,5,2,6,6,3,14,0,0,0,3,0,51,2,2,0,0,12,5,7,0,0,33,5,1,0,0,0,448.0,,,,,,,,,
2019-03,1,60,16,22,4,11,38,9,1,14,0,6,0,4,3,13,31,3,1,0,8,5,5,1,5,91,1,1,1,28,20,13,17,8,11,1,0,6,6,2,55,4,33,9,1,6,5,13,0,3,51,15,1,3,0,2,667.0,,,,,,,,,
2019-04,1,24,19,11,1,3,45,3,2,10,0,0,0,6,4,15,31,1,0,1,4,0,1,2,2,38,0,5,3,50,5,11,19,4,13,0,0,7,4,4,26,0,33,6,24,5,5,9,0,3,25,19,1,3,0,9,516.0,,,,,,,,,
2019-05,1,24,14,17,4,2,34,8,1,7,0,2,3,5,4,14,40,5,0,1,11,6,2,1,2,69,1,8,2,51,9,10,42,7,25,0,2,1,4,2,28,5,26,23,28,8,16,32,1,4,9,38,1,5,1,12,677.0,,,,,,,,,
2019-06,1,17,19,23,2,14,48,9,2,1,1,3,0,6,8,23,135,11,0,4,2,5,5,0,3,78,1,7,2,92,13,15,39,7,34,0,0,5,7,3,40,1,26,26,32,11,23,76,3,5,15,40,1,4,6,18,971.0,,,,,,,,,
2019-07,1,29,16,20,6,8,46,15,4,5,0,2,0,30,11,12,179,6,0,2,2,0,10,1,2,48,2,7,3,82,15,10,28,6,36,0,3,2,7,0,59,2,18,25,29,21,22,70,2,4,105,25,4,3,9,16,1069.0,,,,,,,,,
2019-08,1,24,20,26,4,8,53,2,1,10,1,4,0,27,6,20,139,21,1,4,4,0,13,4,2,37,1,7,4,136,10,7,12,14,54,3,8,9,12,1,101,2,14,32,34,5,12,61,2,5,70,4,1,1,10,17,1080.0,,,,,,,,,
2019-09,1,23,33,27,1,9,32,9,1,22,1,3,0,28,6,23,159,27,4,2,7,4,1,7,3,45,2,11,5,124,8,5,8,9,41,0,1,4,5,3,49,3,13,18,21,26,24,41,2,5,76,17,2,4,3,18,1025.0,,,,,,,,,
2019-10,1,18,28,12,1,5,52,10,2,8,0,4,0,8,10,13,62,29,0,0,6,0,7,2,1,34,0,6,5,113,6,15,12,1,23,0,0,5,7,1,91,2,35,24,43,5,23,18,0,6,50,13,2,3,5,20,846.0,,,,,,,,,
