YEAR_MONTH,COMMUNITY_AREA,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Blue Recycling Cart,Building Violation,Buildings - Plumbing Violation,Business Complaints,Check for Leak,Clean Vacant Lot Request,Consumer Fraud Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Inspect Public Way Request,Low Water Pressure Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Pet Wellness Check Request,Pothole in Street Complaint,Recycling Pick Up,Report an Injured Animal,Restaurant Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Stray Animal Complaint,Street Cleaning Request,Street Light Out Complaint,Street Light Pole Damage Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Emergency,Tree Planting Request,Tree Removal Inspection,Tree Trim Request (NO LONGER BEING ACCEPTED),Vacant/Abandoned Building Complaint,Vicious Animal Complaint,Water Lead Test Kit Request,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Yard Waste Pick-Up Request
2019-01,44,3,32,2,0,7,2,23,0,1,0,0,0,0,0,0,0,2,0,0,2,1,2,0,0,6,1,0,1,0,0,1,3,115,4,0,0,0,8,0,13,0,1,0,0,3,3,8,3,0,30,0,2,0,0,0
2019-02,44,5,43,2,2,3,15,33,1,6,1,2,0,2,2,21,0,3,4,3,1,2,1,0,0,125,4,1,4,1,7,3,6,4,2,0,0,0,6,0,79,0,2,5,3,1,12,13,18,0,39,1,3,1,0,0
2019-03,44,25,69,11,0,13,48,20,0,27,4,8,0,23,9,54,1,16,1,9,5,10,3,2,5,211,14,8,4,17,26,8,10,2,5,0,1,7,26,11,250,7,30,12,8,3,23,37,23,17,48,4,1,6,0,2
2019-04,44,28,62,21,7,11,45,22,1,13,5,2,0,20,17,63,2,4,0,8,5,7,5,1,2,177,10,10,6,17,13,7,17,13,8,0,0,4,29,7,171,10,18,38,9,3,23,35,24,11,28,16,1,14,0,6
2019-05,44,39,49,14,20,24,45,18,1,20,6,2,1,40,11,82,1,7,0,8,5,1,7,2,3,105,23,20,5,18,36,16,66,13,20,0,9,4,19,1,193,6,14,26,6,6,27,42,17,7,10,57,1,44,135,6
2019-06,44,52,58,16,5,30,69,13,3,23,8,3,0,30,25,95,2,6,3,14,7,8,7,5,4,61,13,10,3,30,47,11,30,20,39,1,6,4,36,5,174,1,31,47,24,0,24,58,29,8,17,33,2,4,200,6
2019-07,44,43,38,14,7,14,71,23,3,13,10,4,0,48,25,108,19,12,5,14,7,4,3,4,2,54,31,21,9,35,41,9,27,13,29,1,5,5,24,10,237,4,21,44,39,6,32,67,83,14,111,26,0,11,235,9
2019-08,44,36,45,23,2,16,54,15,3,23,12,4,2,42,27,97,9,6,5,5,0,11,5,22,2,63,21,32,8,42,33,9,19,10,50,1,15,13,25,10,172,2,18,74,24,2,32,61,25,13,74,7,1,7,216,12
2019-09,44,25,65,15,6,21,45,23,3,36,2,3,0,28,23,76,1,10,4,3,9,5,9,1,1,99,9,20,4,32,28,3,23,13,13,0,2,4,37,4,219,3,25,50,19,0,17,79,33,15,159,16,5,10,177,10
2019-10,44,34,55,14,7,19,52,20,0,10,1,4,0,47,20,72,9,11,1,5,6,9,8,5,6,74,18,20,3,43,29,8,21,6,36,2,13,7,29,3,305,7,16,41,42,1,19,58,12,14,31,8,0,22,84,1
2019-11,44,24,40,4,1,11,42,28,3,11,6,0,4,7,13,54,4,11,7,5,3,5,1,4,4,37,14,22,4,16,26,8,7,4,8,2,4,2,27,10,141,4,66,16,14,0,9,43,8,14,19,5,2,2,32,6
2019-12,44,30,61,0,0,31,49,24,1,9,5,8,0,21,16,70,3,3,2,15,6,0,4,9,3,32,23,15,4,12,26,0,6,0,43,0,15,14,33,3,170,3,12,15,1,0,8,10,9,7,19,7,0,4,0,4
2020-01,44,36,38,0,1,15,53,17,1,22,1,1,3,22,18,66,2,10,5,3,5,2,10,2,3,42,20,10,9,9,18,3,11,11,79,1,8,6,16,3,245,3,72,13,4,0,6,7,19,19,8,10,1,12,0,0
2020-02,44,33,39,1,2,19,47,21,0,29,0,1,1,12,13,55,5,4,1,4,3,6,6,1,3,65,14,15,4,5,10,4,6,5,50,1,6,7,25,3,132,3,17,3,0,1,3,6,8,12,8,13,0,3,0,0
2020-03,44,28,41,4,4,18,31,26,15,11,3,5,0,14,22,71,1,5,3,6,5,8,6,1,3,72,11,9,6,8,32,2,7,3,15,3,7,4,21,8,96,3,29,21,6,1,12,14,19,16,10,5,1,10,0,0
2020-04,44,15,36,6,4,23,24,11,62,18,1,3,1,27,19,78,4,11,0,9,6,18,4,12,1,35,7,8,7,17,32,2,22,5,33,3,12,8,15,6,81,3,21,20,3,0,14,29,21,5,7,18,1,16,0,2
2020-05,44,46,44,11,8,32,48,24,47,17,13,4,0,32,40,110,2,11,0,16,6,0,9,4,1,66,17,18,4,45,43,8,48,9,42,0,10,10,20,11,125,2,21,41,11,0,20,46,24,21,4,36,0,51,34,4
2020-06,44,60,55,7,6,26,36,14,18,15,13,1,0,26,22,118,4,11,1,16,5,8,8,9,1,57,18,19,4,32,54,2,30,9,74,1,4,3,18,12,174,3,9,118,68,5,19,101,34,7,6,20,0,8,90,7
