YEAR_MONTH,COMMUNITY_AREA,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Blue Recycling Cart,Building Violation,Buildings - Plumbing Violation,Business Complaints,Check for Leak,Clean Vacant Lot Request,Consumer Fraud Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Inspect Public Way Request,Low Water Pressure Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Pet Wellness Check Request,Pothole in Street Complaint,Recycling Pick Up,Report an Injured Animal,Restaurant Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Stray Animal Complaint,Street Cleaning Request,Street Light Out Complaint,Street Light Pole Damage Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Emergency,Tree Planting Request,Tree Removal Inspection,Tree Trim Request (NO LONGER BEING ACCEPTED),Vacant/Abandoned Building Complaint,Vicious Animal Complaint,Water Lead Test Kit Request,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Yard Waste Pick-Up Request
2019-01,70,13,43,3,0,17,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0,4,8,0,0,1,0,0,7,1,137,3,0,0,0,7,0,14,0,1,0,0,1,11,15,2,0,69,0,1,0,0,0
2019-02,70,25,52,2,2,13,5,3,5,9,0,1,0,0,2,76,1,3,2,0,4,1,1,0,1,153,2,0,0,2,0,6,13,7,10,0,0,2,8,0,122,2,1,6,0,2,28,14,1,0,90,0,2,1,0,1
2019-03,70,48,66,4,6,20,14,4,2,26,4,0,1,10,5,104,36,7,5,4,1,0,3,0,0,210,4,4,2,32,10,25,13,7,21,0,1,5,9,3,173,8,22,24,3,6,33,31,2,6,82,11,5,3,0,3
2019-04,70,43,39,13,6,30,23,3,2,19,2,0,2,10,12,117,44,19,2,10,1,2,10,1,1,139,2,11,0,65,24,27,28,20,41,0,0,9,18,1,141,9,23,40,6,8,54,47,3,13,41,8,1,10,0,1
2019-05,70,52,51,13,9,32,15,3,6,24,1,1,0,23,9,166,53,21,4,15,1,2,17,0,4,187,6,17,2,72,14,28,43,41,22,1,5,4,20,3,171,10,20,38,8,2,48,57,8,18,20,46,0,46,65,3
2019-06,70,34,53,24,3,36,33,7,2,14,0,4,0,40,15,185,75,12,4,9,13,0,17,0,8,187,8,16,7,87,15,61,46,20,24,1,2,7,31,2,96,5,23,72,14,3,62,134,4,20,13,22,0,8,160,10
2019-07,70,33,58,20,7,37,35,0,2,22,2,3,0,26,16,191,53,13,9,28,16,1,12,3,6,115,10,12,3,111,40,31,43,21,16,2,4,6,25,10,218,1,32,85,31,7,59,94,8,16,162,19,2,8,90,9
2019-08,70,69,77,10,0,26,30,3,5,17,1,2,0,17,10,153,64,11,5,9,21,5,17,4,5,136,13,7,2,120,38,26,19,21,40,0,2,3,26,6,213,9,21,68,48,6,36,102,7,6,314,8,0,7,145,4
2019-09,70,66,54,11,8,38,24,4,0,27,3,1,1,38,11,154,60,11,1,7,13,2,7,1,3,178,5,12,3,95,19,12,24,10,76,0,0,2,19,3,321,10,25,48,22,3,33,76,3,5,73,17,3,7,148,8
2019-10,70,44,80,12,5,33,32,8,0,12,3,2,2,28,10,112,119,5,7,7,6,4,10,4,0,95,7,9,2,111,13,24,23,14,36,3,6,4,16,6,285,15,24,44,20,1,35,63,7,14,37,19,5,10,121,2
2019-11,70,49,64,8,2,34,22,3,3,17,1,0,2,17,4,97,61,5,1,3,7,2,0,12,5,86,2,1,1,46,7,9,11,4,30,0,5,0,15,8,151,12,17,23,20,0,17,20,2,11,22,9,0,5,62,2
2019-12,70,49,89,7,1,22,19,2,1,24,1,0,0,12,3,106,26,5,7,10,6,2,5,1,8,64,6,10,2,35,13,6,6,10,80,1,2,10,16,1,175,5,47,12,2,0,15,19,1,7,14,8,1,2,0,3
2020-01,70,51,63,6,1,24,19,5,4,24,1,1,11,15,13,113,54,7,4,8,4,3,6,0,6,111,8,7,2,26,12,10,23,18,22,0,0,5,15,5,143,9,16,2,3,1,12,12,1,5,14,7,0,5,0,2
2020-02,70,42,80,4,1,23,13,4,3,13,1,3,16,8,1,83,52,9,6,8,7,4,13,0,13,134,8,20,0,31,16,30,9,5,26,1,0,2,12,2,136,5,17,3,2,0,8,7,4,9,8,4,1,1,0,0
2020-03,70,35,41,12,2,32,10,3,24,18,1,3,1,12,6,103,45,2,11,7,2,6,13,0,1,484,5,6,1,32,15,14,12,4,22,2,3,9,17,2,111,5,18,10,5,1,25,9,7,9,6,4,1,6,0,2
2020-04,70,27,23,33,6,23,12,2,28,15,0,2,3,8,10,128,37,2,3,10,3,5,15,0,2,255,8,14,3,61,13,8,19,9,67,3,8,6,11,5,98,5,17,27,10,1,29,26,2,6,5,21,0,12,0,3
2020-05,70,27,22,4,12,45,24,3,19,7,1,2,0,29,14,182,33,9,4,15,10,0,20,0,7,46,9,27,2,90,27,11,50,8,32,2,2,12,16,7,147,8,17,71,20,2,67,61,2,10,2,64,0,73,21,15
2020-06,70,63,27,4,6,41,17,1,10,21,1,2,1,54,16,197,54,10,5,10,12,2,22,9,3,47,18,14,0,126,28,14,29,23,44,0,1,15,17,11,207,9,42,145,81,6,56,151,6,13,7,9,1,6,67,13
2020-07,70,43,27,3,2,50,21,6,8,19,2,2,2,29,17,243,48,18,8,21,7,1,17,3,3,47,14,15,2,134,17,8,21,14,45,0,8,18,45,10,233,3,19,106,42,5,47,93,6,21,6,8,4,8,183,14
2020-08,70,46,21,2,6,31,21,2,13,8,2,5,2,31,12,183,22,14,6,16,4,2,23,1,3,35,7,20,4,122,29,16,17,28,64,2,7,4,9,8,106,4,31,129,90,8,62,145,3,5,4,9,2,5,132,15
2020-09,70,58,27,6,1,39,17,2,7,22,1,4,1,27,12,155,71,5,3,9,7,3,10,4,4,33,7,9,0,136,20,16,12,14,67,0,1,6,15,3,77,11,9,51,25,2,24,55,3,11,9,3,5,2,71,9
2020-10,70,61,34,9,3,37,8,5,5,32,0,2,1,26,6,125,36,4,2,14,0,3,10,7,6,39,8,14,1,81,15,10,10,12,29,0,0,12,19,0,115,15,22,36,14,4,26,35,1,7,4,7,0,10,38,8
2020-11,70,36,24,2,2,32,10,0,9,22,3,0,5,18,10,110,48,5,3,8,2,3,8,2,5,51,7,15,2,44,10,4,10,7,65,1,4,4,15,4,146,13,18,23,22,5,9,17,1,10,1,4,0,8,0,9
2020-12,70,53,23,18,4,26,19,2,5,55,2,2,4,14,5,87,75,8,3,14,3,3,9,2,4,202,9,3,4,45,21,6,5,13,29,0,0,6,10,2,64,15,20,13,8,1,9,7,2,8,4,5,0,0,0,1
2021-01,70,61,21,3,1,28,5,4,4,18,0,0,4,8,6,91,36,4,2,6,3,8,8,0,5,69,6,12,0,28,7,7,9,9,26,0,0,3,15,5,81,10,82,6,2,1,4,7,1,10,3,2,0,3,0,0
