Request Type,Median Response Time
311 INFORMATION ONLY CALL,0
Graffiti Removal Request,0
No Water Complaint,0
Open Fire Hydrant Complaint,0
Report an Injured Animal,0
Sign Repair Request - Do Not Enter Sign,0
Sign Repair Request - One Way Sign,0
Sign Repair Request - Stop Sign,0
Street Light Pole Damage Complaint,0
Traffic Signal Out Complaint,0
Vicious Animal Complaint,0
Water in Basement Complaint,0
Check for Leak,1
Coyote Interaction Complaint,1
Dead Animal Pick-Up Request,1
Inspect Public Way Request,1
Low Water Pressure Complaint,1
Recycling Pick Up,1
Stray Animal Complaint,1
Tree Emergency,1
Water On Street Complaint,1
Yard Waste Pick-Up Request,1
Missed Garbage Pick-Up Complaint,2
Street Cleaning Request,2
Street Light Out Complaint,2
Rodent Baiting/Rat Complaint,3
Sanitation Code Violation,3
Weed Removal Request,3
Alley Light Out Complaint,4
Fly Dumping Complaint,4
Nuisance Animal Complaint,4
Clean Vacant Lot Request,5
Business Complaints,8
Pet Wellness Check Request,8
Pothole in Street Complaint,8
Restaurant Complaint,9
Tree Debris Clean-Up Request,9
Sewer Cleaning Inspection Request,10
Abandoned Vehicle Complaint,11
Alley Pothole Complaint,13
Building Violation,14
Sewer Cave-In Inspection Request,14
Alley Sewer Inspection Request,17
Water Quality Concern,19
Vacant/Abandoned Building Complaint,23
Garbage Cart Maintenance,25
Consumer Fraud Complaint,27
Blue Recycling Cart,32
No Building Permit and Construction Violation,33
Buildings - Plumbing Violation,46
Tree Planting Request,113
Water Lead Test Kit Request,114
Tree Removal Inspection,174
Sign Repair Request - All Other Signs,177
Sidewalk Inspection Request,196
