YEAR_MONTH,COMMUNITY_AREA,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Blue Recycling Cart,Building Violation,Buildings - Plumbing Violation,Business Complaints,Check for Leak,Clean Vacant Lot Request,Consumer Fraud Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Inspect Public Way Request,Low Water Pressure Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Pet Wellness Check Request,Pothole in Street Complaint,Recycling Pick Up,Report an Injured Animal,Restaurant Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Stray Animal Complaint,Street Cleaning Request,Street Light Out Complaint,Street Light Pole Damage Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Emergency,Tree Planting Request,Tree Removal Inspection,Tree Trim Request (NO LONGER BEING ACCEPTED),Vacant/Abandoned Building Complaint,Vicious Animal Complaint,Water Lead Test Kit Request,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Yard Waste Pick-Up Request,total_volume_area_5,total_volume_area_6,total_volume_area_7,total_volume_area_21,total_volume_area_22
2019-01,5,9,17,3,0,10,11,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,21,1,0,6,0,0,4,6,64,20,0,0,0,0,0,17,0,1,0,0,6,1,19,0,0,68,1,2,0,0,0,294.0,,,,
2019-02,5,16,18,9,1,10,14,2,0,6,0,1,0,0,0,22,22,3,0,0,5,0,4,0,2,122,1,0,3,2,0,4,22,11,19,0,1,0,2,0,99,1,2,1,0,8,2,24,0,0,79,12,1,0,0,1,552.0,,,,
2019-03,5,17,22,28,1,15,16,0,1,29,1,10,3,1,4,28,266,22,1,6,5,2,1,5,1,183,2,6,0,18,6,8,18,16,42,2,3,9,8,7,109,5,39,4,4,7,8,44,2,1,108,14,1,1,0,6,1166.0,,,,
2019-04,5,22,18,29,4,20,26,1,6,2,1,1,2,7,4,35,172,11,1,3,3,2,2,0,0,72,2,5,2,33,12,2,29,8,41,0,1,2,11,0,67,3,17,9,17,47,22,98,1,3,33,27,1,0,0,16,953.0,,,,
2019-05,5,18,15,41,4,24,16,1,2,4,0,1,4,7,3,43,204,23,0,10,7,2,7,3,0,93,0,4,1,52,13,13,77,15,31,3,10,5,12,1,67,3,24,22,11,37,15,85,3,2,14,54,0,2,0,35,1143.0,,,,
2019-06,5,29,15,34,2,20,23,3,2,2,1,2,1,6,12,48,558,17,1,2,10,1,5,0,0,63,1,14,3,53,15,13,98,22,42,1,7,7,10,6,159,6,20,23,30,39,26,132,3,2,15,69,1,10,6,26,1716.0,,,,
2019-07,5,37,21,20,1,26,17,0,2,3,1,1,0,10,3,47,316,24,0,5,14,2,2,5,0,61,1,9,4,77,21,15,29,13,27,0,4,3,10,4,44,11,21,23,44,40,21,98,1,5,151,21,0,1,7,36,1359.0,,,,
2019-08,5,26,13,28,1,22,19,0,0,3,1,3,2,23,13,49,568,21,3,6,11,0,4,2,2,82,2,14,7,67,9,17,15,14,27,0,2,2,6,1,89,8,29,14,24,25,27,80,2,4,97,18,0,0,6,17,1525.0,,,,
2019-09,5,38,30,27,2,19,27,1,1,4,2,1,0,20,2,48,235,12,0,4,12,1,4,5,1,108,3,8,0,58,14,11,27,17,25,2,7,15,9,3,107,9,27,17,15,17,12,93,2,5,145,17,1,0,3,14,1287.0,,,,
2019-10,5,21,9,19,4,24,17,4,2,34,0,2,1,15,9,58,167,35,3,6,12,5,10,1,0,56,1,5,0,62,12,5,18,11,25,0,0,2,3,2,79,6,26,20,35,14,12,76,2,2,89,16,4,3,2,31,1077.0,,,,
