YEAR_MONTH,COMMUNITY_AREA,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Blue Recycling Cart,Building Violation,Buildings - Plumbing Violation,Business Complaints,Check for Leak,Clean Vacant Lot Request,Consumer Fraud Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Inspect Public Way Request,Low Water Pressure Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Pet Wellness Check Request,Pothole in Street Complaint,Recycling Pick Up,Report an Injured Animal,Restaurant Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Stray Animal Complaint,Street Cleaning Request,Street Light Out Complaint,Street Light Pole Damage Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Emergency,Tree Planting Request,Tree Removal Inspection,Tree Trim Request (NO LONGER BEING ACCEPTED),Vacant/Abandoned Building Complaint,Vicious Animal Complaint,Water Lead Test Kit Request,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Yard Waste Pick-Up Request,total_volume_area_15,total_volume_area_16,total_volume_area_17,total_volume_area_18,total_volume_area_19,total_volume_area_20
2019-01,15,11,72,17,1,26,13,2,1,2,0,4,0,0,0,4,0,5,1,0,0,0,1,0,0,32,0,0,4,0,1,4,2,141,20,0,0,0,6,0,29,0,2,0,0,6,24,13,0,0,153,1,2,0,0,0,,,,,,
2019-02,15,41,56,24,1,29,24,8,2,6,0,3,0,3,1,67,1,7,3,4,2,1,5,0,2,179,2,0,4,5,6,6,12,16,12,0,0,3,0,0,140,3,4,1,0,8,33,20,0,0,158,1,2,0,0,1,,,,,,
2019-03,15,89,95,71,5,44,65,4,1,63,1,7,1,12,6,72,73,12,3,8,6,5,6,19,7,425,14,6,6,90,20,41,29,13,118,1,17,25,11,3,169,16,44,9,12,38,34,54,6,2,200,25,2,9,0,6,,,,,,
2019-04,15,65,93,49,5,37,32,6,3,20,1,2,0,27,19,97,78,13,2,12,10,2,6,5,3,193,16,9,1,96,13,38,33,19,53,0,0,3,9,2,128,6,66,33,45,36,56,65,5,2,83,27,0,13,0,25,,,,,,
2019-05,15,56,91,79,8,44,46,2,5,11,5,4,2,30,10,119,109,16,7,12,13,1,3,0,3,217,8,9,6,133,29,54,72,25,38,0,7,4,11,8,146,3,27,47,21,48,72,113,11,3,24,76,1,14,9,66,,,,,,
2019-06,15,83,61,59,9,45,50,0,9,11,1,5,0,26,15,95,124,24,1,43,14,0,13,1,2,226,11,11,2,151,54,35,37,19,50,4,3,7,19,13,169,7,17,69,24,33,58,153,8,9,29,23,1,3,12,77,,,,,,
2019-07,15,82,65,61,11,46,49,10,4,17,2,1,0,32,17,149,180,30,4,23,13,4,7,2,2,149,27,9,4,258,23,36,27,26,33,1,7,5,19,4,160,9,50,63,39,36,58,147,2,5,215,14,0,5,11,67,,,,,,
2019-08,15,102,107,55,0,36,56,2,2,26,2,4,0,32,12,123,124,16,6,12,10,8,7,2,2,158,16,18,7,253,36,43,23,20,72,2,5,5,15,5,128,5,45,59,37,38,87,248,6,7,256,11,3,2,8,40,,,,,,
2019-09,15,115,99,43,0,33,35,2,5,39,1,3,7,31,8,104,117,21,9,10,26,26,6,19,6,189,11,14,8,187,27,19,21,19,43,1,9,2,11,6,219,7,37,40,47,24,65,162,5,6,239,22,7,2,3,34,,,,,,
2019-10,15,102,104,47,2,34,34,7,4,20,0,2,8,26,10,95,159,15,5,16,20,4,8,1,5,122,8,5,2,148,26,16,46,14,64,0,4,6,17,6,278,5,38,60,51,19,62,128,12,9,64,25,3,53,5,41,,,,,,
