YEAR_MONTH,COMMUNITY_AREA,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Blue Recycling Cart,Building Violation,Buildings - Plumbing Violation,Business Complaints,Check for Leak,Clean Vacant Lot Request,Consumer Fraud Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Inspect Public Way Request,Low Water Pressure Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Pet Wellness Check Request,Pothole in Street Complaint,Recycling Pick Up,Report an Injured Animal,Restaurant Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Stray Animal Complaint,Street Cleaning Request,Street Light Out Complaint,Street Light Pole Damage Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Emergency,Tree Planting Request,Tree Removal Inspection,Tree Trim Request (NO LONGER BEING ACCEPTED),Vacant/Abandoned Building Complaint,Vicious Animal Complaint,Water Lead Test Kit Request,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Yard Waste Pick-Up Request
2019-01,0,361,1724,290,14,857,701,513,20,45,5,126,0,0,9,10,4,55,60,1,16,5,129,5,170,1079,82,0,215,0,16,158,245,4195,647,1,1,1,262,4,1169,17,262,2,0,187,389,568,124,0,3108,61,51,7,0,0
2019-01,1,8,20,2,0,3,39,10,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,5,1,0,1,0,0,4,5,17,10,0,0,0,0,0,4,0,2,0,0,3,2,10,1,0,23,2,0,0,0,0
2019-01,2,11,11,4,1,5,29,8,1,0,0,5,0,0,0,0,0,0,2,0,1,0,1,0,2,14,0,0,5,0,4,2,5,193,9,0,0,0,4,0,36,0,4,0,0,10,7,19,1,0,64,0,0,0,0,0
2019-01,3,4,3,1,0,6,17,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,3,6,0,0,4,0,0,4,3,17,15,0,0,0,2,0,12,0,0,0,0,2,2,2,0,0,19,2,0,0,0,0
2019-01,4,4,7,2,0,11,12,0,0,0,0,4,0,0,0,0,1,2,0,0,0,0,1,0,0,10,1,0,1,0,0,1,1,66,10,0,0,0,2,0,4,0,9,0,0,4,3,4,2,0,70,0,1,0,0,0
2019-01,5,9,17,3,0,10,11,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,21,1,0,6,0,0,4,6,64,20,0,0,0,0,0,17,0,1,0,0,6,1,19,0,0,68,1,2,0,0,0
2019-01,6,0,38,6,0,17,41,6,0,0,0,3,0,0,0,0,0,0,1,0,0,0,3,0,1,30,2,0,14,0,0,3,6,53,33,0,0,0,0,0,27,0,6,0,0,1,0,35,1,0,41,6,1,0,0,0
2019-01,7,2,31,4,0,10,28,2,0,1,0,1,0,0,0,1,0,1,2,0,1,0,2,0,2,24,2,0,6,0,0,4,4,67,28,0,0,0,5,0,21,0,9,0,0,3,2,9,0,0,24,2,2,1,0,0
2019-01,8,2,7,5,0,7,20,18,2,1,0,5,0,0,0,0,0,2,0,0,0,0,0,0,1,8,0,0,17,0,0,5,5,61,41,0,0,1,1,1,18,2,9,0,0,0,0,2,0,0,13,2,0,0,0,0
2019-01,9,1,7,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,1,72,1,0,0,0,0,0,6,0,0,0,0,2,10,7,0,0,75,0,0,0,0,0
