Category,Request Type
Urgent,Building Violation
Urgent,Buildings - Plumbing Violation
Urgent,Coyote Interaction Complaint
Urgent,Dead Animal Pick-Up Request
Urgent,Fly Dumping Complaint
Urgent,No Building Permit and Construction Violation
Urgent,No Water Complaint
Urgent,Open Fire Hydrant Complaint
Urgent,Pet Wellness Check Request
Urgent,Report an Injured Animal
Urgent,Rodent Baiting/Rat Complaint
Urgent,Sanitation Code Violation
Urgent,Sewer Cave-In Inspection Request
Urgent,Sign Repair Request - Do Not Enter Sign
Urgent,Sign Repair Request - One Way Sign
Urgent,Sign Repair Request - Stop Sign
Urgent,Stray Animal Complaint
Urgent,Tree Emergency
Urgent,Street Light Pole Damage Complaint
Urgent,Check for Leak
Urgent,Vicious Animal Complaint
Urgent,Water Lead Test Kit Request
Urgent,Water On Street Complaint
Urgent,Water Quality Concern
Urgent,Water in Basement Complaint
Non-Life-Threatening,Abandoned Vehicle Complaint
Non-Life-Threatening,Alley Light Out Complaint
Non-Life-Threatening,Alley Pothole Complaint
Non-Life-Threatening,Alley Sewer Inspection Request
Non-Life-Threatening,Blue Recycling Cart
Non-Life-Threatening,Business Complaints
Non-Life-Threatening,Clean Vacant Lot Request
Non-Life-Threatening,Consumer Fraud Complaint
Non-Life-Threatening,Garbage Cart Maintenance
Non-Life-Threatening,Graffiti Removal Request
Non-Life-Threatening,Inspect Public Way Request
Non-Life-Threatening,Low Water Pressure Complaint
Non-Life-Threatening,Missed Garbage Pick-Up Complaint
Non-Life-Threatening,Pothole in Street Complaint
Non-Life-Threatening,Recycling Pick Up
Non-Life-Threatening,Restaurant Complaint
Non-Life-Threatening,Sewer Cleaning Inspection Request
Non-Life-Threatening,Sidewalk Inspection Request
Non-Life-Threatening,Sign Repair Request - All Other Signs
Non-Life-Threatening,Street Cleaning Request
Non-Life-Threatening,Street Light Out Complaint
Non-Life-Threatening,Tree Debris Clean-Up Request
Non-Life-Threatening,Tree Planting Request
Non-Life-Threatening,Tree Removal Inspection
Non-Life-Threatening,Tree Trim Request (NO LONGER BEING ACCEPTED)
Non-Life-Threatening,Vacant/Abandoned Building Complaint
Non-Life-Threatening,Weed Removal Request
Non-Life-Threatening,Yard Waste Pick-Up Request
