YEAR_MONTH,COMMUNITY_AREA,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Blue Recycling Cart,Building Violation,Buildings - Plumbing Violation,Business Complaints,Check for Leak,Clean Vacant Lot Request,Consumer Fraud Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Inspect Public Way Request,Low Water Pressure Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Pet Wellness Check Request,Pothole in Street Complaint,Recycling Pick Up,Report an Injured Animal,Restaurant Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Stray Animal Complaint,Street Cleaning Request,Street Light Out Complaint,Street Light Pole Damage Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Emergency,Tree Planting Request,Tree Removal Inspection,Tree Trim Request (NO LONGER BEING ACCEPTED),Vacant/Abandoned Building Complaint,Vicious Animal Complaint,Water Lead Test Kit Request,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Yard Waste Pick-Up Request
2019-01,34,3,9,1,0,4,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,5,0,0,0,0,6,2,0,0,0,0,0,5,0,3,0,0,0,0,3,0,0,2,0,0,0,0,0
2019-02,34,3,4,1,0,4,2,2,0,0,1,0,0,0,0,11,1,0,0,0,0,0,0,0,1,32,2,0,2,2,4,1,2,0,5,0,0,0,1,0,19,1,4,1,0,0,1,2,0,0,4,1,0,0,0,0
2019-03,34,9,9,4,0,0,2,0,0,4,1,2,0,1,3,12,14,1,0,1,0,2,0,2,0,51,5,2,5,10,2,2,1,1,5,0,0,0,2,2,65,0,16,0,1,0,0,3,0,2,5,0,0,0,0,0
2019-04,34,3,9,1,2,2,20,1,2,4,1,1,0,2,1,11,24,1,0,1,2,1,2,0,0,28,1,3,9,11,3,8,6,1,26,0,0,5,2,0,39,2,8,2,4,2,2,4,1,1,6,2,0,2,0,0
2019-05,34,3,8,3,0,2,2,0,0,2,1,1,0,3,3,8,22,4,0,2,2,0,0,0,1,37,4,0,2,14,3,0,2,5,6,0,0,3,0,1,25,1,9,2,0,0,0,8,3,0,2,0,0,0,6,1
2019-06,34,5,7,4,0,3,6,1,0,0,1,1,0,3,2,16,28,2,0,6,0,0,2,1,0,48,4,1,3,21,5,4,3,1,5,0,0,2,2,0,37,0,9,1,0,0,8,23,0,0,4,8,0,0,5,1
2019-07,34,7,8,1,1,1,4,0,1,2,2,1,0,3,3,25,54,5,1,3,5,0,3,9,0,46,3,1,8,22,6,3,4,1,10,0,0,0,0,1,76,7,15,2,2,2,7,15,0,1,33,2,0,1,3,1
2019-08,34,9,7,1,1,4,6,1,2,2,5,2,0,5,6,23,44,4,0,3,2,0,0,2,1,36,2,5,7,30,5,3,5,2,3,0,1,1,2,0,57,1,14,2,5,0,5,10,0,1,51,1,0,2,3,0
2019-09,34,11,5,3,0,3,6,0,0,2,0,0,0,2,2,9,25,6,0,1,4,1,0,0,1,13,0,1,9,35,4,3,2,1,7,0,0,3,0,0,11,4,15,0,6,0,3,17,1,0,10,1,0,0,4,0
2019-10,34,9,5,1,0,0,9,1,0,2,2,0,0,3,1,12,94,4,0,0,0,0,2,0,1,21,4,3,10,31,5,3,2,7,11,0,0,2,0,3,21,2,19,0,1,2,3,9,1,0,19,1,0,4,0,0
