YEAR_MONTH,COMMUNITY_AREA,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Blue Recycling Cart,Building Violation,Buildings - Plumbing Violation,Business Complaints,Check for Leak,Clean Vacant Lot Request,Consumer Fraud Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Inspect Public Way Request,Low Water Pressure Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Pet Wellness Check Request,Pothole in Street Complaint,Recycling Pick Up,Report an Injured Animal,Restaurant Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Stray Animal Complaint,Street Cleaning Request,Street Light Out Complaint,Street Light Pole Damage Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Emergency,Tree Planting Request,Tree Removal Inspection,Tree Trim Request (NO LONGER BEING ACCEPTED),Vacant/Abandoned Building Complaint,Vicious Animal Complaint,Water Lead Test Kit Request,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Yard Waste Pick-Up Request
2019-01,56,5,58,1,0,21,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,3,1,0,9,0,0,1,0,0,7,4,143,1,0,0,0,4,0,25,0,1,0,0,4,41,0,0,0,126,0,0,0,0,0
2019-02,56,37,34,2,1,23,4,2,0,2,1,0,0,0,2,55,5,2,0,0,0,0,3,0,4,138,1,0,0,8,1,20,13,16,17,2,1,0,2,0,136,1,0,1,0,4,43,23,0,0,134,6,1,5,0,0
2019-03,56,48,66,13,0,47,7,3,0,28,0,2,0,8,2,74,19,6,3,9,4,4,4,26,1,252,2,7,3,61,11,39,10,50,38,2,4,3,11,4,125,5,15,7,2,1,22,21,1,1,108,5,5,14,0,1
2019-04,56,30,87,14,4,30,10,1,3,10,2,1,0,9,4,70,50,14,0,5,7,2,7,2,1,148,3,8,4,92,22,36,16,24,23,4,7,6,9,0,106,1,27,14,4,13,34,30,0,4,48,16,2,13,0,3
2019-05,56,38,81,21,6,38,8,2,2,11,1,1,0,13,6,83,44,18,6,1,11,0,8,1,1,170,4,10,2,118,22,34,32,29,39,1,21,13,8,2,122,5,42,18,5,12,69,60,7,7,21,26,1,15,12,10
2019-06,56,26,56,12,2,27,11,0,4,4,0,0,0,21,7,73,63,29,5,5,10,2,8,3,7,230,6,6,2,172,21,63,26,16,22,1,3,8,7,2,90,3,21,19,14,10,47,82,4,5,20,4,1,1,26,5
2019-07,56,66,74,14,6,22,12,2,3,17,0,2,0,25,6,106,109,63,9,9,10,1,10,5,3,188,4,8,2,209,21,52,41,34,24,2,0,2,10,3,229,4,21,28,17,9,43,122,0,7,233,16,3,4,15,7
2019-08,56,46,93,8,4,35,21,3,2,17,0,1,0,12,7,97,71,14,11,4,4,7,2,7,2,90,7,4,7,209,12,36,25,31,28,1,6,11,13,3,215,4,46,18,18,33,46,86,1,4,336,10,2,1,12,6
2019-09,56,48,88,15,5,29,8,3,2,37,0,1,0,23,6,87,91,9,2,5,7,8,9,4,2,109,5,5,3,148,6,35,39,20,36,0,4,6,18,1,211,7,25,19,21,22,31,95,2,6,78,6,7,2,18,2
2019-10,56,69,67,7,4,20,9,1,2,25,1,1,1,15,2,56,66,14,5,3,8,12,12,2,3,64,4,7,0,107,14,34,27,14,63,2,10,7,9,4,268,11,20,25,37,3,36,68,0,6,48,7,2,8,5,14
