YEAR_MONTH,COMMUNITY_AREA,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Blue Recycling Cart,Building Violation,Buildings - Plumbing Violation,Business Complaints,Check for Leak,Clean Vacant Lot Request,Consumer Fraud Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Inspect Public Way Request,Low Water Pressure Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Pet Wellness Check Request,Pothole in Street Complaint,Recycling Pick Up,Report an Injured Animal,Restaurant Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Stray Animal Complaint,Street Cleaning Request,Street Light Out Complaint,Street Light Pole Damage Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Emergency,Tree Planting Request,Tree Removal Inspection,Tree Trim Request (NO LONGER BEING ACCEPTED),Vacant/Abandoned Building Complaint,Vicious Animal Complaint,Water Lead Test Kit Request,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Yard Waste Pick-Up Request,total_volume_area_23,total_volume_area_24,total_volume_area_26
2019-01,23,4,16,3,0,17,25,10,2,0,1,1,0,0,2,0,0,1,2,0,0,1,6,0,7,17,0,0,1,0,6,0,8,21,6,0,0,0,4,1,31,0,3,0,0,5,6,8,0,0,31,1,0,0,0,0,247.0,,
2019-02,23,35,18,4,0,20,39,37,5,7,2,3,0,0,8,63,3,2,1,3,1,0,3,1,6,130,1,2,4,1,10,5,16,4,1,0,0,1,2,0,82,1,1,0,0,3,10,20,8,1,31,4,2,1,0,1,603.0,,
2019-03,23,74,19,46,2,41,44,9,3,22,19,1,1,11,24,118,24,9,7,8,9,1,9,3,9,235,10,3,7,68,35,14,16,10,30,1,1,5,23,9,103,3,37,5,5,3,21,16,13,9,42,9,0,6,0,4,1256.0,,
2019-04,23,34,30,44,1,37,43,13,8,14,31,1,1,18,30,119,59,18,6,5,11,7,7,1,11,166,15,15,8,99,29,19,24,11,33,2,4,11,23,6,79,7,40,13,10,17,33,42,10,15,30,12,0,10,0,7,1339.0,,
2019-05,23,52,31,65,5,42,99,10,4,10,14,5,2,14,34,134,126,6,5,9,13,3,12,1,5,209,11,11,7,130,29,31,73,12,140,3,12,32,19,4,172,3,33,27,16,18,44,72,22,15,16,30,0,16,246,14,2168.0,,
2019-06,23,48,26,54,2,39,46,8,4,23,23,4,0,12,30,128,132,12,4,6,11,2,12,18,5,127,7,22,6,137,40,19,38,11,43,0,5,11,34,8,85,5,31,36,33,15,28,79,42,23,10,11,1,4,673,13,2246.0,,
2019-07,23,67,35,59,6,51,47,10,3,32,40,3,0,21,39,191,154,9,2,19,14,3,16,224,11,101,4,21,4,189,53,10,26,9,30,2,7,6,25,6,117,6,26,35,25,12,32,101,17,18,79,18,1,4,524,21,2585.0,,
2019-08,23,64,32,48,3,52,73,12,11,21,30,2,0,35,59,215,190,16,2,22,16,3,18,4,10,83,3,17,8,161,47,15,21,13,48,1,4,15,22,6,108,8,23,28,15,7,23,131,38,13,121,8,0,5,735,19,2684.0,,
2019-09,23,67,30,38,0,37,69,10,6,11,32,3,1,27,53,121,152,14,2,10,9,6,14,3,4,120,8,12,2,143,36,14,25,6,35,2,2,6,20,3,128,3,24,18,22,9,19,97,21,14,52,7,1,8,395,4,1975.0,,
2019-10,23,64,20,63,8,46,47,7,8,15,14,1,3,37,46,111,162,18,2,7,14,2,5,1,5,116,4,21,5,137,33,11,14,2,56,4,7,10,33,5,76,1,24,21,16,15,19,42,24,17,25,12,0,6,158,6,1626.0,,
2019-11,23,90,22,13,3,32,40,12,3,12,10,2,3,12,31,87,133,8,3,9,11,2,3,0,20,59,7,9,4,57,15,3,11,2,27,0,3,7,35,9,84,5,32,9,14,2,18,16,5,4,12,2,0,5,55,16,1088.0,,
2019-12,23,73,26,16,1,42,36,9,1,8,15,2,2,20,27,107,216,6,0,11,9,6,7,0,12,48,3,10,3,54,28,3,12,0,29,1,5,12,17,4,126,4,15,6,0,3,4,9,5,8,10,4,0,3,0,3,1081.0,,
2020-01,23,69,33,15,1,46,31,14,1,29,4,0,5,10,28,86,347,5,4,8,7,6,1,5,25,78,12,18,3,60,15,3,24,6,38,0,2,8,27,7,79,5,10,6,3,3,3,7,14,13,13,7,0,2,0,1,1247.0,,
2020-02,23,52,23,13,0,35,31,16,3,5,9,4,4,23,27,80,219,4,3,6,7,7,5,0,14,56,8,7,1,36,13,5,10,0,51,2,3,12,21,4,103,4,36,5,0,5,1,9,17,5,8,3,1,3,0,1,1020.0,,
2020-03,23,56,15,12,0,48,37,7,32,9,20,7,4,18,23,114,144,6,1,9,2,0,6,0,7,67,11,17,5,45,29,7,9,3,31,1,5,3,17,6,75,12,32,7,2,2,35,23,14,13,8,5,0,6,0,3,1070.0,,
2020-04,23,51,17,12,2,53,22,17,51,5,41,1,0,11,39,126,228,3,3,13,7,2,6,0,3,22,10,8,3,88,30,4,9,2,36,0,0,6,19,4,36,3,14,13,0,9,17,19,17,10,5,17,0,10,0,4,1128.0,,
2020-05,23,67,16,19,22,50,43,20,39,7,42,4,1,21,60,160,331,13,4,17,3,3,14,10,5,38,14,18,3,123,42,10,47,8,40,3,4,8,20,7,33,2,15,19,7,8,19,50,20,9,5,42,0,52,48,12,1697.0,,
2020-06,23,56,16,8,9,54,48,13,17,11,42,4,1,22,25,181,181,10,4,14,11,3,8,54,6,54,13,17,0,133,43,4,25,7,62,1,0,5,11,5,125,6,26,71,63,12,26,87,21,14,4,10,2,6,72,11,1734.0,,
2020-07,23,103,23,21,7,71,45,15,19,19,27,1,2,17,44,222,185,9,5,124,8,8,12,117,11,68,24,15,3,141,76,7,16,5,61,1,8,11,12,10,113,7,19,50,34,10,33,145,17,9,2,5,0,3,421,14,2455.0,,
2020-08,23,107,13,12,1,70,47,7,23,13,26,6,2,14,38,173,77,17,3,11,13,3,11,97,3,41,12,16,4,202,54,2,10,8,107,3,5,11,15,5,88,12,17,211,106,3,43,97,27,8,5,5,1,3,308,18,2234.0,,
